super_replicate;replicate;strain_no;strain;ethanol;broodsize;date;person_counting;comment
1;2;10;MY2147;200;418;29-10-2024;Lisa;
1;2;10;MY2147;200;386;29-10-2024;Lisa;
1;2;10;MY2147;200;448;29-10-2024;Lisa;
1;2;10;MY2147;300;295;29-10-2024;Lisa;
1;2;10;MY2147;300;235;29-10-2024;Lisa;
1;2;10;MY2147;300;334;29-10-2024;Lisa;
1;2;10;MY2147;400;200;29-10-2024;Lisa;
1;2;10;MY2147;400;170;29-10-2024;Lisa;
1;2;10;MY2147;400;166;29-10-2024;Lisa;
1;2;11;MY2693;0;712;29-10-2024;Rick;
1;2;11;MY2693;0;840;29-10-2024;Rick;
1;2;11;MY2693;0;822;29-10-2024;Rick;
1;2;11;MY2693;100;906;29-10-2024;Rick;Bacterial infection
1;2;11;MY2693;100;613;29-10-2024;Rick;
1;2;11;MY2693;100;501;29-10-2024;Rick;
1;2;11;MY2693;200;378;29-10-2024;Rick;
1;2;11;MY2693;200;228;29-10-2024;Rick;
1;2;11;MY2693;200;332;29-10-2024;Rick;
1;2;11;MY2693;300;276;29-10-2024;Rick;
1;2;11;MY2693;300;138;29-10-2024;Rick;
1;2;11;MY2693;300;312;29-10-2024;Rick;
1;2;11;MY2693;400;111;29-10-2024;Rick;
1;2;11;MY2693;400;64;29-10-2024;Rick;
1;2;11;MY2693;400;180;29-10-2024;Rick;
1;2;12;N2;0;637;29-10-2024;Rick;
1;2;12;N2;0;560;29-10-2024;Rick;
1;2;12;N2;0;399;29-10-2024;Rick;
1;2;12;N2;100;420;29-10-2024;Rick;
1;2;12;N2;100;413;29-10-2024;Rick;
1;2;12;N2;100;445;29-10-2024;Rick;
1;2;12;N2;200;393;29-10-2024;Rick;
1;2;12;N2;200;344;29-10-2024;Rick;
1;2;12;N2;200;278;29-10-2024;Rick;
1;2;12;N2;300;285;29-10-2024;Rick;
1;2;12;N2;300;132;29-10-2024;Rick;
1;2;12;N2;300;256;29-10-2024;Rick;
1;2;12;N2;400;117;29-10-2024;Rick;
1;2;12;N2;400;97;29-10-2024;Rick;
1;2;12;N2;400;105;29-10-2024;Rick;
1;2;13;NIC2;0;721;30-10-2024;Rick;
1;2;13;NIC2;0;752;30-10-2024;Rick;
1;2;13;NIC2;0;676;30-10-2024;Rick;
1;2;13;NIC2;100;497;30-10-2024;Rick;
1;2;13;NIC2;100;768;30-10-2024;Rick;
1;2;13;NIC2;100;533;30-10-2024;Rick;
1;2;13;NIC2;200;384;30-10-2024;Rick;
1;2;13;NIC2;200;180;30-10-2024;Rick;
1;2;13;NIC2;200;404;30-10-2024;Rick;
1;2;13;NIC2;300;332;30-10-2024;Rick;
1;2;13;NIC2;300;255;30-10-2024;Rick;
1;2;13;NIC2;300;227;30-10-2024;Rick;
1;2;13;NIC2;400;206;30-10-2024;Rick;
1;2;13;NIC2;400;202;30-10-2024;Rick;
1;2;13;NIC2;400;102;30-10-2024;Rick;
1;2;14;NIC526;0;223;30-10-2024;Rick;
1;2;14;NIC526;0;545;30-10-2024;Rick;
1;2;14;NIC526;0;536;30-10-2024;Rick;
1;2;14;NIC526;100;470;30-10-2024;Rick;
1;2;14;NIC526;100;402;30-10-2024;Rick;
1;2;14;NIC526;100;398;30-10-2024;Rick;
1;2;14;NIC526;200;226;30-10-2024;Rick;
1;2;14;NIC526;200;234;30-10-2024;Rick;
1;2;14;NIC526;200;258;30-10-2024;Rick;
1;2;14;NIC526;300;164;30-10-2024;Rick;
1;2;14;NIC526;300;375;30-10-2024;Rick;
1;2;14;NIC526;300;196;30-10-2024;Rick;
1;2;14;NIC526;400;120;30-10-2024;Rick;
1;2;14;NIC526;400;122;30-10-2024;Rick;
