super_replicate,replicate,strain_no,strain,ethanol,broodsize,date,person_counting,comment,broodsize_nor
1,2,8,JU2600,0,691,29-10-2024,Rick,,1.4935158501440922
1,2,8,JU2600,0,667,29-10-2024,Rick,,1.44164265129683
1,2,8,JU2600,100,517,29-10-2024,Rick,,1.1174351585014408
1,2,8,JU2600,100,629,29-10-2024,Rick,,1.3595100864553313
1,2,8,JU2600,100,1021,29-10-2024,Rick,,2.206772334293948
1,2,8,JU2600,200,428,29-10-2024,Rick,,0.92507204610951
1,2,8,JU2600,200,436,29-10-2024,Rick,,0.9423631123919308
1,2,8,JU2600,200,428,29-10-2024,Rick,,0.92507204610951
1,2,8,JU2600,300,256,29-10-2024,Rick,,0.5533141210374639
1,2,8,JU2600,300,328,29-10-2024,Rick,,0.7089337175792507
1,2,8,JU2600,300,215,29-10-2024,Rick,,0.46469740634005763
1,2,8,JU2600,400,182,29-10-2024,Rick,,0.393371757925072
1,2,8,JU2600,400,160,29-10-2024,Rick,,0.34582132564841495
1,2,8,JU2600,400,229,29-10-2024,Rick,,0.4949567723342939
1,2,9,JU310,0,530,29-10-2024,Lisa,,1.1960706225939202
1,2,9,JU310,0,527,29-10-2024,Lisa,,1.1893004115226338
1,2,9,JU310,0,509,29-10-2024,Lisa,,1.1486791450949156
1,2,9,JU310,100,448,29-10-2024,Lisa,,1.0110181866454269
1,2,9,JU310,100,412,29-10-2024,Lisa,,0.9297756537899907
1,2,9,JU310,100,400,29-10-2024,Lisa,,0.9026948095048454
1,2,9,JU310,200,348,29-10-2024,Lisa,,0.7853444842692154
1,2,9,JU310,200,287,29-10-2024,Lisa,,0.6476835258197265
1,2,9,JU310,200,298,29-10-2024,Lisa,,0.6725076330811097
1,2,9,JU310,300,306,29-10-2024,Lisa,,0.6905615292712067
1,2,9,JU310,300,353,29-10-2024,Lisa,,0.796628169388026
1,2,9,JU310,300,361,29-10-2024,Lisa,,0.814682065578123
1,2,9,JU310,400,129,29-10-2024,Lisa,,0.2911190760653126
1,2,9,JU310,400,65,29-10-2024,Lisa,,0.14668790654453737
1,2,9,JU310,400,117,29-10-2024,Lisa,,0.2640382317801673
1,2,10,MY2147,0,376,29-10-2024,Lisa,,0.8100538599640933
1,2,10,MY2147,0,507,29-10-2024,Lisa,,1.0922800718132855
1,2,10,MY2147,0,538,29-10-2024,Lisa,,1.1590664272890485
1,2,10,MY2147,100,366,29-10-2024,Lisa,,0.7885098743267505
1,2,10,MY2147,100,328,29-10-2024,Lisa,,0.7066427289048474
1,2,10,MY2147,100,334,29-10-2024,Lisa,,0.7195691202872531
1,2,10,MY2147,200,418,29-10-2024,Lisa,,0.9005385996409335
1,2,10,MY2147,200,386,29-10-2024,Lisa,,0.8315978456014362
1,2,10,MY2147,200,448,29-10-2024,Lisa,,0.9651705565529622
1,2,10,MY2147,300,295,29-10-2024,Lisa,,0.6355475763016157
1,2,10,MY2147,300,235,29-10-2024,Lisa,,0.5062836624775583
1,2,10,MY2147,300,334,29-10-2024,Lisa,,0.7195691202872531
1,2,10,MY2147,400,200,29-10-2024,Lisa,,0.43087971274685816
1,2,10,MY2147,400,170,29-10-2024,Lisa,,0.36624775583482944
1,2,10,MY2147,400,166,29-10-2024,Lisa,,0.35763016157989225
1,2,11,MY2693,0,712,29-10-2024,Rick,,1.5940998287896748
1,2,11,MY2693,0,840,29-10-2024,Rick,,1.8806795732911894
1,2,11,MY2693,0,822,29-10-2024,Rick,,1.8403792967206638
1,2,11,MY2693,100,906,29-10-2024,Rick,Mold infection,2.028447254049783
1,2,11,MY2693,100,613,29-10-2024,Rick,,1.3724483076517846
1,2,11,MY2693,100,501,29-10-2024,Rick,,1.1216910312129593
1,2,11,MY2693,200,378,29-10-2024,Rick,,0.8463058079810352
1,2,11,MY2693,200,228,29-10-2024,Rick,,0.5104701698933228
1,2,11,MY2693,200,332,29-10-2024,Rick,,0.7433162123008034
1,2,11,MY2693,300,276,29-10-2024,Rick,,0.6179375740813908
1,2,11,MY2693,300,138,29-10-2024,Rick,,0.3089687870406954
1,2,11,MY2693,300,312,29-10-2024,Rick,,0.6985381272224418
1,2,11,MY2693,400,111,29-10-2024,Rick,,0.24851837218490716
1,2,11,MY2693,400,64,29-10-2024,Rick,,0.1432898722507573
1,2,11,MY2693,400,180,29-10-2024,Rick,,0.40300276570525484
1,2,12,N2,0,637,29-10-2024,Rick,,1.5726237827458511
1,2,12,N2,0,560,29-10-2024,Rick,,1.382526402413935
1,2,12,N2,0,399,29-10-2024,Rick,,0.9850500617199287
1,2,12,N2,100,420,29-10-2024,Rick,,1.0368948018104513
1,2,12,N2,100,413,29-10-2024,Rick,,1.0196132217802771
1,2,12,N2,100,445,29-10-2024,Rick,,1.0986147304896448
1,2,12,N2,200,393,29-10-2024,Rick,,0.9702372788369222
1,2,12,N2,200,344,29-10-2024,Rick,,0.849266218625703
1,2,12,N2,200,278,29-10-2024,Rick,,0.686325606912632
1,2,12,N2,300,285,29-10-2024,Rick,,0.7036071869428062
1,2,12,N2,300,132,29-10-2024,Rick,,0.32588122342614184
1,2,12,N2,300,256,29-10-2024,Rick,,0.6320120696749417
1,2,12,N2,400,117,29-10-2024,Rick,,0.2888492662186257
